label,pred
1.0,0.4954655
1.0,0.7114631
1.0,0.7168266
1.0,0.66395855
1.0,0.84764266
1.0,0.6651192
1.0,0.6648226
1.0,0.8337367
1.0,0.6639501
1.0,0.11324544
1.0,0.10461361
1.0,0.16001663
1.0,0.22809234
1.0,0.49865353
1.0,0.5999672
1.0,0.6518733
1.0,0.7374538
1.0,0.6501121
1.0,0.6525796
1.0,0.13065712
1.0,0.4954655
1.0,0.4955031
1.0,0.2930564
1.0,0.7260851
1.0,0.831594
1.0,0.83802456
1.0,0.764552
1.0,0.7974597
1.0,0.8141903
1.0,0.8828823
1.0,0.728342
1.0,0.73296016
1.0,0.86892456
1.0,0.7933908
1.0,0.835643
1.0,0.75274014
1.0,0.9078974
1.0,0.74110126
1.0,0.8438357
1.0,0.73160535
1.0,0.7452718
1.0,0.761601
1.0,0.7616002
1.0,0.69895315
1.0,0.44509304
1.0,0.59975016
1.0,0.6822498
1.0,0.49810663
1.0,0.673052
1.0,0.6763116
1.0,0.50134593
1.0,0.2721826
1.0,0.44786412
1.0,0.23987538
1.0,0.9043977
1.0,0.8982272
1.0,0.88255227
1.0,0.9827163
1.0,0.9866899
1.0,0.905034
1.0,0.9032097
1.0,0.88254946
1.0,0.8825536
1.0,0.9317241
1.0,0.8983458
1.0,0.89834803
1.0,0.8983461
1.0,0.9021288
1.0,0.9021125
1.0,0.902009
1.0,0.9000939
1.0,0.9005606
1.0,0.9050328
1.0,0.9519083
1.0,0.97207344
1.0,0.98413694
1.0,0.88544744
1.0,0.8854464
1.0,0.885443
1.0,0.9765256
1.0,0.90320843
1.0,0.90503263
1.0,0.90109843
1.0,0.8981549
1.0,0.96532893
1.0,0.8825521
1.0,0.887626
1.0,0.9119305
1.0,0.58906794
1.0,0.66575885
0.0,0.0051419474
0.0,0.0022516341
0.0,0.19159593
0.0,0.0022562044
0.0,0.0071523823
0.0,0.0033561557
0.0,0.0018410174
0.0,0.0023183434
0.0,0.49896923
0.0,0.0018120775
0.0,0.008907695
0.0,0.3063252
0.0,0.040071253
0.0,0.5474132
0.0,0.18660994
0.0,0.0030647118
0.0,0.0028452317
0.0,0.34506923
0.0,0.0048422767
0.0,0.16646078
0.0,0.21127142
0.0,0.0047313347
0.0,0.00748392
0.0,0.5950359
0.0,0.5621268
0.0,0.013802763
0.0,0.5906471
0.0,0.006559832
0.0,0.098350674
0.0,0.0710276
0.0,0.14653903
0.0,0.0038103557
0.0,0.42144242
0.0,0.4028646
0.0,0.004001764
0.0,0.23570158
0.0,0.006560572
0.0,0.0013220601
0.0,0.08507241
0.0,0.23565353
0.0,0.003713643
0.0,0.016252352
0.0,0.09900833
0.0,0.0024071992
0.0,0.51188076
0.0,0.49716067
0.0,0.0019367177
0.0,0.002104928
0.0,0.009662662
0.0,0.0081763705
0.0,0.0346525
0.0,0.24370107
0.0,0.656933
0.0,0.09162606
0.0,0.567354
0.0,0.013729368
0.0,0.5517017
0.0,0.13841005
0.0,0.025618145
0.0,0.0028456333
0.0,0.06528457
0.0,0.1369647
0.0,0.12760963
0.0,0.004629391
0.0,0.12715317
0.0,0.0026954839
0.0,0.7244601
0.0,0.14813924
0.0,0.064271025
0.0,0.49614006
0.0,0.006012922
0.0,0.49783835
0.0,0.0012581636
0.0,0.4366169
0.0,0.454132
0.0,0.07422301
0.0,0.575733
0.0,0.5653047
0.0,0.09900839
0.0,0.033711422
0.0,0.64012045
0.0,0.5366636
0.0,0.03615487
0.0,0.32974848
0.0,0.26482353
0.0,0.5451273
0.0,0.0029855259
