label,pred
1.0,0.6294738
1.0,0.73818797
1.0,0.66232985
1.0,0.6773083
1.0,0.5503814
1.0,0.23738864
1.0,0.5394618
1.0,0.10150796
1.0,0.83310026
1.0,0.8526255
1.0,0.5770824
1.0,0.54410267
1.0,0.85692066
1.0,0.67085123
1.0,0.3233968
1.0,0.8107928
1.0,0.8419539
1.0,0.5394618
1.0,0.5953519
1.0,0.39480227
1.0,0.7023014
1.0,0.5394618
1.0,0.60982186
1.0,0.27238804
1.0,0.8272017
1.0,0.8532762
1.0,0.8589966
1.0,0.84902036
1.0,0.60312116
1.0,0.40927634
1.0,0.86780745
1.0,0.8677694
1.0,0.8567352
1.0,0.66930115
1.0,0.7985914
1.0,0.5394618
1.0,0.5394618
1.0,0.753202
1.0,0.5342465
1.0,0.6096277
1.0,0.5394618
1.0,0.3851294
1.0,0.52293414
1.0,0.42628607
1.0,0.5563337
1.0,0.5415195
1.0,0.13158812
1.0,0.3097818
1.0,0.5508327
1.0,0.13384101
1.0,0.4054471
1.0,0.7433687
1.0,0.8227573
1.0,0.82536227
1.0,0.5391567
1.0,0.7083111
1.0,0.71774924
1.0,0.8135228
1.0,0.7001644
1.0,0.5394618
1.0,0.15804504
1.0,0.5394618
1.0,0.7427434
1.0,0.55730015
1.0,0.78600633
1.0,0.028684638
1.0,0.74645823
1.0,0.74617726
1.0,0.86817014
1.0,0.68623334
1.0,0.884732
1.0,0.69187456
1.0,0.70819885
1.0,0.6763988
1.0,0.8824427
1.0,0.074975416
1.0,0.63489544
1.0,0.57839847
1.0,0.7109366
1.0,0.5394618
1.0,0.67175555
1.0,0.86699396
1.0,0.84216464
1.0,0.5747111
1.0,0.074851215
1.0,0.67561656
1.0,0.72713315
1.0,0.6897497
1.0,0.6946879
1.0,0.61041677
1.0,0.6877359
1.0,0.6264022
1.0,0.55137587
1.0,0.5562896
1.0,0.7769781
1.0,0.4818063
1.0,0.7393921
1.0,0.7169287
1.0,0.67550045
1.0,0.7334008
1.0,0.59466064
1.0,0.65281767
1.0,0.72050446
1.0,0.57390434
1.0,0.663069
1.0,0.87054914
1.0,0.80170614
1.0,0.85527426
1.0,0.8700964
1.0,0.65780926
1.0,0.77582914
1.0,0.7331029
1.0,0.69562906
1.0,0.8386275
1.0,0.4653714
1.0,0.68381673
1.0,0.66063267
1.0,0.5227335
1.0,0.55043054
1.0,0.5394618
1.0,0.6012004
1.0,0.79610336
1.0,0.66921985
1.0,0.6072745
1.0,0.6239278
1.0,0.68771183
1.0,0.6872314
1.0,0.7303759
1.0,0.80006534
1.0,0.54563046
1.0,0.6825297
1.0,0.7547811
1.0,0.82749254
1.0,0.8603737
1.0,0.83715636
1.0,0.856289
1.0,0.46918038
1.0,0.74636537
1.0,0.542114
1.0,0.6953047
1.0,0.6357552
1.0,0.6814231
1.0,0.42717847
1.0,0.6080939
1.0,0.76394415
1.0,0.6686406
1.0,0.7889998
1.0,0.5439208
1.0,0.7693863
1.0,0.7220632
1.0,0.70640206
1.0,0.6913332
1.0,0.57780385
1.0,0.74054813
1.0,0.5517377
1.0,0.07013185
1.0,0.41935205
1.0,0.33745274
1.0,0.32775307
1.0,0.7212319
1.0,0.77214676
1.0,0.6860847
1.0,0.5394618
1.0,0.51977205
1.0,0.5416995
1.0,0.56266564
1.0,0.46668735
1.0,0.41080698
1.0,0.6315424
1.0,0.722972
1.0,0.68808824
1.0,0.7143134
1.0,0.56342304
1.0,0.44502127
1.0,0.5394618
