mic_id,mic_name
0,Acetonema
1,Acidobacteriaceae
2,Acinetobacter
3,Actinobacillus
4,Actinobacteria
5,Actinomyces
6,Aerococcus
7,Aeromonadaceae
8,Aggregatibacter
9,Akkermansia
10,Alcaligenaceae
11,Alistipes
12,Alistipes finegoldii
13,Alistipes putredinis
14,Alteromonadaceae
15,Anaerofilum
16,Anaerostipes
17,Anaerotruncus
18,Anaerovorax
19,Atopobium
20,Atopobium vaginae
21,Bacillaceae
22,Bacilli
23,Bacillus
24,Bacterium 08.96.4
25,Bacterium ASF500
26,Bacterium B4C2-5
27,Bacterium Ba2
28,Bacterium C15
29,Bacterium G100VIII
30,Bacterium ic1214
31,Bacterium ic1258
32,Bacterium ic1292
33,Bacterium ic1296
34,Bacterium ic1311
35,Faecalibacterium gallinarum
36,Bacterium ic1391
37,Bacterium MB7-1
38,Bacterium mpn-isolate group 19
39,Bacterium mpn-isolate group 22
40,Bacterium mpn-isolate group 24
41,Bacterium mpn-isolate group 27
42,Bacterium mpn-isolate group 5
43,Bacterium 'New Zealand B'
44,Bacterium str. 31285
45,Bacterium YE62
46,Bacterium YE64
47,Bacteroidaceae
48,Bacteroidaceae bacterium Smarlab 3301643
49,Bacteroidales
50,Bacteroides
51,Bacteroides eggerthii
52,Bacteroides finegoldii
53,Bacteroides fragilis
54,Bacteroides ovatus
55,Bacteroides sp. CJ78
56,Bacteroides sp. D20
57,Bacteroides thetaiotaomicron
58,Bacteroides uniformis
59,Bacteroides vulgatus
60,Bacteroidetes
61,Betaproteobacteria
62,Bifidobacterium
63,Bifidobacterium catenulatum
64,Bilophila
65,Bilophila wadsworthia
66,Bovine rumen bacterium JPR13
67,Brenneria
68,Burkholderia
69,Burkholderiales bacterium Smarlab 3302047
70,Butyrate-producing bacterium ART55/1
71,Butyrate-producing bacterium L1-810
72,Butyrate-producing bacterium L1-952
73,Butyrate-producing bacterium L2-50
74,Butyrate-producing bacterium M104/1
75,Butyrate-producing bacterium M21/2
76,Butyrate-producing bacterium M50/1
77,Butyrate-producing bacterium P607
78,Butyrate-producing bacterium PH05YB02
79,Butyrate-producing bacterium Ph07AY02
80,Butyrate-producing bacterium PH07AY3
81,Butyrate-producing bacterium PH07AY5
82,Butyrate-producing bacterium PH07BY04
83,Butyrate-producing bacterium SL6/1/1
84,Butyrate-producing bacterium SM4/1
85,Butyrate-producing bacterium SR1/1
86,Butyrate-producing bacterium SR1/5
87,Butyrate-producing bacterium SS2/1
88,Butyrate-producing bacterium SSC/2
89,Butyrate-producing bacterium T2-132
90,Candidate division TM7
91,Cellulomonadaceae
92,Citrobacter
93,Clostridia
94,Clostridia bacterium TSW07CA7
95,Clostridiaceae
96,Clostridiaceae bacterium bSSV31
97,Clostridiaceae bacterium LEMV63
98,Clostridiaceae bacterium SH032
99,Clostridiaceae bacterium SK061
100,Clostridiales
101,Clostridiales bacterium 80/3
102,Clostridiales bacterium A2-162
103,Clostridiales bacterium AHT16
104,Clostridiales bacterium L2-14
105,Clostridium
106,Clostridium coccoides
107,Clostridium cocleatum
108,Clostridium difficile
109,Clostridium innocuum
110,Clostridium leptum
111,Clostridium ramosum
112,Clostridium spiroforme
113,Collinsella
114,Collinsella aerofaciens
115,Comamonadaceae
116,Coprobacillus
117,Coprococcus
118,Coriobacteriaceae
119,Corynebacterium
120,Coxiellaceae
121,Cronobacter
122,Dehalobacterium
123,Desulfobacteraceae
124,Desulfotomaculum
125,Desulfovibrio
126,Desulfovibrionaceae
127,Dialister
128,Dietzia maris
129,Dorea
130,Dysgonomonas
131,Edwardsiella
132,Eggerthella
133,Enterobacter
134,Enterobacter aerogenes
135,Enterobacter hormaechei
136,Enterobacteriaceae
137,Enterococcus
138,Enterococcus faecalis
139,Enterococcus faecium
140,Erwinia
141,Erysipelothrix
142,Erysipelotrichaceae
143,Erysipelotrichales
144,Escherichia
145,Escherichia coli
146,Eubacteriaceae
147,Eubacterium
148,Eubacterium eligens
